Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Day,Month,Year,BranchName,DealerName,Product_Name
BR9746,DLR0064,Jee-M14,23000000,4,DT01248,1,6,2020,Speed Motors,Tesla Dealers,Jeep
BR9766,DLR0065,Jee-M15,24000000,5,DT01249,2,6,2020,Thunder Motors,Nissan Dealers,Jeep
BR9786,DLR0066,Jee-M16,25000000,6,DT01250,3,6,2020,Storm Motors,Toyota Dealers,Jeep
BR9806,DLR0067,Jee-M17,26000000,7,DT01251,4,6,2020,Lightning Motors,Chevy Dealers,Jeep
BR9826,DLR0068,Jee-M18,27000000,8,DT01252,5,6,2020,Horizon Motors,BMW Dealers,Jeep
BR9846,DLR0069,Jee-M19,28000000,9,DT01253,6,6,2020,Sunrise Motors,Audi Dealers,Jeep
BR9866,DLR0070,Jee-M20,29000000,10,DT01254,7,6,2020,Galaxy Motors,Mercedes Dealers,Jeep
BR9886,DLR0071,Jee-M21,30000000,11,DT01255,8,6,2020,Zenith Motors,Porsche Dealers,Jeep
XYZ9886,XYZ0071,ZYXM14,31000000,12,DT01256,9,6,2020,Quantum Motors,Quantum Dealers,Surprise
XYZ9906,XYZ0072,ZYXM15,32000000,13,DT01257,10,6,2020,Nova Motors,Nova Dealers,Surprise